Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
1597 Cipolla Road,"1597 Cipolla Road, Fruita, CO 81521",Fruita,CO,United States,81521,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,"Grand Junction, CO",,62000,SF,7/5/19,1,6.51,$,105.01,,,,,Yes,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Spirit Realty Capital,,,,FHE USA,,,,4295,507835,6510425,6510425,82679,Industrial,1597 Cipolla Way,6/28/19,1,,1597 Cipolla Way,SPIRIT REALTY CAPITAL,,,,FRANK HENRY EQUIPMENT USA,,,,81521,112.2487,58000,,7155,0.95041984
1589 Cipolla Road,"1589 Cipolla Road, Fruita, CO 81521",Fruita,CO,United States,81521,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,"Grand Junction, CO",,70000,SF,7/5/19,1,10.9,$,155.74,,,,,Yes,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Spirit Realty Capital,,,,FHE USA,,,,4296,1435555,10901657,10901657,145258,Industrial,1589 Cipolla Road,7/5/19,1,,1589 Cipolla Rd,SPIRIT REALTY CAPITAL,,,,FHE USA CARLOG,,,,81521,156.4622,69676,,17289,0.99999946
111 Adams Road,"111 Adams Road, Clinton, MA 01510",Clinton,MA,United States,1510,Industrial,Warehouse,Bulk Distribution,No,Boston,Worcester,459000,SF,7/2/19,1,24,$,52.29,,B+,0.075,As Reported,Yes,,No,,Newmark Group,54.47,1,0,1,1972,2012,1,0.054,0.05430567,0.0538609,,,Yes,Albany Road Real Estate Partners,,,,GFI Partners,,,,4302,1308887,24000000,24000000,133149,Industrial,111 Adams Road,6/28/19,1,,111 Adams Rd,ALBANY RD REAL ESTATE PARTNERS,,,,GFI PARTNERS,,,,1510,52.6736,455636,,12800,1.0000001
65 Middlesex Road,"65 Middlesex Road, Tyngsborough, MA 01879",Tyngsborough,MA,United States,1879,Industrial,Warehouse,,No,Boston,Route 3 North,103000,SF,7/2/19,1,8.4,$,81.55,,B+,,,Yes,,No,,Newmark Group,17.7,,0,1,,,,0.054,0.05394366,0.0538609,,,Yes,Albany Road Real Estate Partners,,,,GFI Partners,,,,4303,192209,8400000,8400000,56739,Industrial,65 Middlesex Road,6/28/19,1,,65 Middlesex Rd,ALBANY RD REAL ESTATE PARTNERS,,,,GFI PARTNERS,,,,1879,81.5534,103000,,4807,1.0000007
Building Plastics Inc,"3263 Sharpe Avenue, Memphis, TN 38111",Memphis,TN,United States,38111,Industrial,Warehouse,Light Industrial,No,Memphis,Southeast,184000,SF,7/1/19,1,8.6,$,46.74,,B-,0.088,As Reported,No,,No,,Marcus & Millichap IPA,10.81,2,0,1,1986,,,0.062,0.06195197,0.06207433,,,Yes,,,,,,,,,4317,126736,8600000,8600000,37206,Industrial,Building Plastics Inc,7/1/19,1,,3263 Sharpe Ave,CARDINAL SHERWOOD,,,,PANATTONI DEVELOPMENT,CALSTRS,,,38111,46.7966,183774,,3077,0.9999995
2800 Third Street,"2800 3rd Street, San Francisco, CA 94107",San Francisco,CA,United States,94107,Industrial,Warehouse,,No,San Francisco,Southeast,40000,SF,7/1/19,1,8.36,$,209,,B+,0.03423819,Green Street Market Estimate,No,,No,,Newmark Group,,,0,,,,,0.052,0.05133115,0.04989065,,,Yes,Madison Capital,,,,"Group I, Inc.",,,,4318,1409734,23360000,23360000,144093,Industrial,2800 3rd Street,7/22/19,1,,2800 3rd St,MADISON CAPITAL,,,,ERIC TAO,,,,94107,664.3914,35160,,16227,0.9811556
9230 Ashton Road,"9230 Ashton Road, Philadelphia, PA 19114",Philadelphia,PA,United States,19114,Industrial,Warehouse,,No,Philadelphia,North,295000,SF,7/1/19,1,14.98,$,50.76,,B+,0.05045269,Green Street Market Estimate,No,,No,,Newmark Group,15.939,,0,1,,,,0.053,0.05295055,0.05405872,,,Yes,,,,,,,,,4319,1415599,14974999.75,14974999.75,144436,Industrial,9250 Ashton Road,7/8/19,1,,9250 Ashton Rd,NORA CHULOI LAU,,,,HOWARD WEISS,,,,19114,50.7627,295000,,16553,0.96822745
3950 Pinnacle Court,"3950 Pinnacle Court, Auburn Hills, MI 48326",Auburn Hills,MI,United States,48326,Industrial,Warehouse,,No,Detroit,Pontiac / Waterford,123000,SF,7/1/19,1,7.55,$,61.38,,C+,0.07143591,Green Street Market Estimate,No,,No,Newmark Group,Newmark Group,,,0,,,,,0.067,0.06670554,0.06607605,,,Yes,,,,,,,,,4320,1411377,7550000,7550000,144240,Industrial,3950 Pinnacle Court,7/1/19,1,,3950 Pinnacle Ct,US ROOF,,,,MICHAEL J MONAHAN,,,,48326,61.207,123352,,16368,1.0000004
3015 Kustom Drive,"3015 Kustom Drive, Hebron, KY 41048",Hebron,KY,United States,41048,Industrial,Warehouse,,No,Cincinnati,Northern Kentucky,106000,SF,7/1/19,1,7.3,$,68.87,,B,0.05589449,Green Street Market Estimate,No,,No,Newmark Group,Newmark Group,,,0,,,,,0.061,0.05871215,0.05868937,,,Yes,EQT Exeter,,,,,,,,4321,1239177,7300000,7300000,125145,Industrial,3015 Kustom Drive,7/22/19,1,,3015 Kustom Dr,EXETER,,,,D AND H ENTERPRISES OF OHIO,,,,41048,68.6606,106320,,11952,0.9999997
7520 Georgetown Road,"7520 Georgetown Road, Indianapolis, IN 46268",Indianapolis,IN,United States,46268,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,Indianapolis,Northwest,416000,SF,7/1/19,1,15.22,$,36.58,,C+,0.05788482,Green Street Market Estimate,No,,No,Newmark Group,(None),20.996,,0,1,,,,0.061,0.06096978,0.06157128,,,Yes,Sansone Group,,,,Asset Preservation Inc.,,,,4322,503228,15216564,15216564,82002,Industrial,7520 Georgetown Road,7/16/19,1,,7520 Georgetown Rd,SANSONE GROUP,CENTERSQUARE,,,DUKE REALTY,,,,46268,35.8164,424849,,7083,1.0000002
4095 Pike Lane,"4095 Pike Lane, Concord, CA 94520",Concord,CA,United States,94520,Industrial,Warehouse,Light Industrial,No,Oakland-East Bay,Highway 4 Corridor,32000,SF,7/1/19,1,6.98,$,218.13,,B+,0.06,As Reported,No,,No,,Newmark Group,1.32,,0,1,,,,0.048,0.0501031,0.05098428,,,Yes,"Tonaquint, Inc.",,,,,,,,4324,1203431,6678000,6678000,119576,Industrial,4095 Pike Lane,7/16/19,1,,4095 Pike Ln,JOHN FIFE TONAQUINT,,,,JAMES AND DANA FINEGOLD,,,,94520,210,31800,,11408,1.0000001
6271 Florin Perkins Road,"6271 Florin Perkins Road, Sacramento, CA 95828",Sacramento,CA,United States,95828,Industrial,Warehouse,,No,Sacramento,South,57000,SF,7/1/19,1,5.23,$,91.67,,B-,0.05532225,Green Street Market Estimate,No,,No,,Newmark Group,3.31,,0,1,,,,0.06,0.05780241,0.05780241,,,Yes,,,,,,,,,4325,972352,5225000,5225000,111222,Industrial,6271 Florin Perkins Road,7/23/19,1,,6271 Florin Perkins Rd,FATAI A YUSUFU SAINOT K YUSUFU,,,,THE RAVIZZA LIVING TRUST CLARANNE RAVIZZA LONG,,,,95828,91.6667,57000,,10669,1.0000008
10720 Thornmint Road,"10720 Thornmint Road, San Diego, CA 92127",San Diego,CA,United States,92127,Industrial,Warehouse,,No,San Diego,Central County,23000,SF,7/1/19,1,5,$,217.39,,B+,0.04529474,Green Street Market Estimate,No,,No,Newmark Group,,,,0,,,,,0.053,0.05285849,0.05077033,,,Yes,,,,,Frank De Lorenzo,,,,4326,16643,5000000,5000000,4381,Industrial,10720 Thornmint Road,7/19/19,1,,10720 Thornmint Rd,DKNVV,,,,CARDENAS FAMILIES TRUST,,,,92127,213.9953,23365,,330,1.0000001
120 Dorsa Avenue,"120 Dorsa Avenue, Livingston, NJ 07039",Livingston,NJ,United States,7039,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,New Jersey (Northern),Essex,52000,SF,6/30/19,1,6.93,$,133.17,,A+,0.0592,As Reported,No,,No,,Avison Young,2.94,,0,,,,,0.042,0.04133672,0.04285066,,,Yes,,,,,,,,,4330,1411380,7200000,7200000,144241,Industrial,120 Dorsa Avenue,7/15/19,1,,120 Dorsa Ave,EXETER,,,,PAPER MART,,,,7039,138.4615,52000,,16369,1.0000006
1955 South Quince Street,"1955 South Quince Street, Denver, CO 80231",Denver,CO,United States,80231,Industrial,Warehouse,,No,Denver,Southeast,42392,SF,6/30/19,1,7.7,$,181.64,,B-,0.07,As Reported,No,,No,,CBRE Group,1.9207,,0,1,1993,2015,1,0.057,0.05686605,0.05722629,,,Yes,Charla Barbieri,,,,,,,,4333,1164587,7700000,7700000,114374,Industrial,1955 South Quince Street,6/30/19,1,,1955 S Quince St,ROR 1955 QUINCE,,,,CASIMIR PARTNERS,,,,80231,181.638,42392,,10968,0.9999997
4870 Centennial Boulevard,"4870 Centennial Boulevard, Colorado Springs, CO 80919",Colorado Springs,CO,United States,80919,Industrial,Flex Industrial,Park,No,Colorado Springs,,50470,SF,6/28/19,1,6,$,118.88,,,,,No,,No,,,,,,,2000,,,,,,,,Yes,,,,,,,,,4338,1253616,5075000,5075000,126567,Industrial,5070 Centennial Boulevard,7/6/19,1,,5070 Centennial Blvd,BRIAN S CLARK,,,,SAMTEC,,,,80919,67.1794,75544,,12079,0.9151309
Six Bunker Hill Industrial Park,"6 Bunker Hill Industrial Park, Boston, MA 02129",Boston,MA,United States,2129,Industrial,Warehouse,,No,Boston,Boston / Cambridge,22000,SF,6/28/19,1,7.2,$,327.27,,A-,0.05154981,Green Street Market Estimate,No,,No,,Colliers,,,0,,,,,0.054,0.05199208,0.05085891,,,Yes,Center Court Partners,,,,Borzakian Family, Colliers,,,4347,1405503,7200000,7200000,143536,Industrial,6 Bunker Hill Industrial Park,7/3/19,1,,6 Bunker Hill Industrial Park,,,,,BELL LIBERTY,,,,2129,444.1155,16212,,15705,0.9644925
7720 Lehigh Avenue,"7720 Lehigh Avenue, Niles, IL 60714",Niles,IL,United States,60714,Industrial,Warehouse,,No,Chicago,Cook County North,136000,SF,6/28/19,1,17.27,$,126.99,,B+,0.04714951,Green Street Market Estimate,No,,No,,Colliers,8.176,,0,1,,,,0.058,0.05508374,0.05380815,,,Yes,KKR & Co.,,,,Molto Properties,,,,4349,806093,17270000,17270000,100830,Industrial,7720 Lehigh Avenue,6/28/19,1,,7720 N Lehigh Ave,KKR,,,,MOLTO PROPERTIES,,,,60714,127.3129,135650,,9178,0.9999998
"Mira Loma Industrial Center, Building 9","3647 De Forest Circle, Jurupa Valley, CA 91752",Jurupa Valley,CA,United States,91752,Industrial,Warehouse,,No,Inland Empire,Inland Empire-West,40000,SF,6/27/19,1,6.95,$,173.75,,A,0.03695999,Green Street Market Estimate,No,,No,,Cushman & Wakefield,,,0,,,,,0.04,0.03923996,0.03821009,,,Yes,Renoir Fashion,,,,Davis Partners,,,,4365,969467,6950000,6950000,111057,Industrial,Mira Loma Industrial Center Bldg 9,7/26/19,1,,3647 de Forest Cir,RENOIR FASHION TYSON ESTATE,,,,DAVIS PARTNERS,,,,91752,174.966,39722,,10524,0.9369413
425 Whitney Street,"425 Whitney Street, Northborough, MA 01532",Northborough,MA,United States,1532,Industrial,Warehouse,,No,Boston,Worcester,46000,SF,6/27/19,1,6.86,$,149.08,,B+,0.05477156,Green Street Market Estimate,No,,No,,CBRE Group,5,,0,1,,,,0.054,0.05430567,0.0538609,,,Yes,,,,,,,,,4366,1409716,6857700,6857700,144087,Industrial,425 Whitney Street,6/27/19,1,,425 Whitney St,STERIS,,,,DRA ADVISORS,,,,1532,147.1515,46603,,16220,0.9999999
1201 Big Town,"1201 Big Town Boulevard, Dallas, TX 75227",Dallas,TX,United States,75227,Industrial,Warehouse,,No,Dallas / Fort Worth,Central / East,509000,SF,6/27/19,1,34,$,66.8,,B-,0.05146023,Green Street Market Estimate,No,,No,,HFF,,,0,,,,,0.054,0.05582158,0.05697994,,,Yes,Stream Realty Partners,,,,Ascentris, Huntington Industrial Partners,,,4371,665710,32035500,32035500,94559,Industrial,1201 Big Town Boulevard,6/27/19,1,,1201 Big Town Blvd,HIGH ST (HSLP),,,,HUNTINGTON INDUSTRIAL PARTNERS,ASCENTRIS,,,75227,62.9381,509000,2,8452,0.88317925
3201 East Harbour Drive,"3201 East Harbour Drive, Phoenix, AZ 85034",Phoenix,AZ,United States,85034,Industrial,Warehouse,,No,Phoenix,Airport,100000,SF,6/26/19,1,15.5,$,155,,B-,0.05202437,Green Street Market Estimate,No,,No,,JLL,,,0,,,,,0.054,0.05477506,0.05525644,,,Yes,CBRE Investment Management,,,,,,,,4374,124915,15500000,15500000,36731,Industrial,3201 East Harbour Drive,6/26/19,1,,3201 E Harbour Dr,ALLSTATE INSURANCE,,,,BECKY CHOHON,,,,85034,127.3299,121731,,3032,0.99999946
11201 North Airworld Drive,"11201 North Airworld Drive, Kansas City, MO 64153",Kansas City,MO,United States,64153,Industrial,Warehouse,,No,Kansas City,Northland,110000,SF,6/26/19,1,5.63,$,51.18,,D,0.05857518,Green Street Market Estimate,No,,No,,CBRE Group,8.1015,,0,2,,,,0.065,0.0666774,0.06887325,,,Yes,,,,,Rogers Sporting Goods,,,,4376,855812,5629491,5629491,105351,Industrial,11201 Northwest Airworld Drive,6/26/19,1,,11201 NW Airworld Dr,RICHARD S MOOG,,,,ROGERS SPORTING GOODS COMMERCIAL LEASING,,,,64153,51.3523,109625,,9651,0.86003447
1339 Rocky Point Drive,"1339 Rocky Point Drive, Oceanside, CA 92056",Oceanside,CA,United States,92056,Industrial,Warehouse,,No,San Diego,North County,51000,SF,6/25/19,1,8.94,$,175.35,,B,0.04850328,Green Street Market Estimate,No,,No,,CBRE Group,,,0,,,,,0.053,0.05274161,0.05384245,,,Yes,,,,,,,,,4384,972440,8943000,8943000,111225,Industrial,1339 Rocky Point Drive,6/11/19,1,,1339 Rocky Point Dr,ORANGE CIRCLE STUDIO,,,,IPT BLACK CREEK,,,,92056,175.0029,51102,,10672,1.0000001
Little Rock Logistics Center,"104 Champs Boulevard, Maumelle, AR 72113",Maumelle,AR,United States,72113,Industrial,Warehouse,,No,Little Rock,,500000,SF,6/25/19,1,20.75,$,41.5,,,0.078,As Reported,No,,No,,CBRE Group,,,0,,,,1,,,,,,Yes,Glen Una Management,,,,Real Capital Solutions,,,,4385,338605,20750000,20750000,72300,Industrial,Little Rock Logistics Center,6/25/19,1,,104 Champs Blvd,GLEN UNA PROPERTIES,,,,REAL CAPITAL SOLUTIONS,,,,72113,41.4627,500450,,6077,1.0000001
35 South Service Road,"35 South Service Road, Plainview, NY 11803",Plainview,NY,United States,11803,Industrial,Warehouse,Manufacturing / Heavy Industrial,Yes,Long Island,East Nassau,72000,SF,6/25/19,1,12.5,$,173.61,,A-,0.04919135,Green Street Market Estimate,No,,No,,CBRE Group,,,0,,,,,0.054,0.05245779,0.05101769,,,Yes,,,,,,,,,4386,1406757,12500000,12500000,143674,Office,35 South Service Road,6/21/19,1,,35 S Service Rd,STALWART EQUITIES,,,,COBHAM ADVANCED ELECTRONIC SOLUTIONS,,,,11803,172.862,72312,,15836,1.0000004
31035&31037 Genstar Road,"31035 Genstar Road, Hayward, CA 94544",Hayward,CA,United States,94544,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,Oakland-East Bay,S-I-880 Corridor,90000,SF,6/25/19,1,15.78,$,175.28,,A-,0.03915803,Green Street Market Estimate,No,,No,CBRE Group,CBRE Group,,,0,,,,,0.048,0.04749457,0.04815532,,,Yes,,,,,,,,,4387,511519,7887500,7887500,83121,Industrial,31056 Genstar Road,6/14/19,1,,31056 Genstar Rd,TARLTON PROPERTIES,,,,WIN WOO TRADING,,,,94544,73.0087,108035,,7203,0.9112817
500 Research Drive,"500 Research Drive, Wilmington, MA 01887",Wilmington,MA,United States,1887,Industrial,Warehouse,Light Industrial,No,Boston,Route 3 North,110000,SF,6/24/19,1,13.88,$,126.15,,B+,,,No,,No,,,,1,0,1,1988,,,0.054,0.05394366,0.0538609,,,Yes,Novaya Real Estate Ventures,,,,,,,,4392,166187,13876106,13876106,48925,Industrial,500 Research Drive,6/6/19,1,,500 Research Dr,NOVAYA VENTURES,AIG,,,WAKEFIELD INVESTMENT,,,,1887,128.4825,108000,,4094,0.99999976
Brookside Industrial Park,"1761 North Sherman Drive, Indianapolis, IN 46218",Indianapolis,IN,United States,46218,Industrial,Warehouse,,No,Indianapolis,Northeast,304000,SF,6/24/19,1,6.9,$,22.7,,C+,0.06130675,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,0.061,0.06159802,0.06157128,,,Yes,,,,,,,,,4394,1406298,6900000,6900000,143610,Industrial,Brookside Industrial Park,6/24/19,1,,1761 N Sherman Dr,TIME EQUITIES,,,,BROOKSIDE INDUSTRIAL PARK,,,,46218,22.715,303764,,15771,0.9999995
851 Jupiter Park Lane,"851 Jupiter Park Lane, Jupiter, FL 33458",Jupiter,FL,United States,33458,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,Palm Beach,Jupiter,72000,SF,6/24/19,1,9.2,$,127.78,,A-,0.04590317,Green Street Market Estimate,No,,No,,CBRE Group,,,0,,,,,0.046,0.04564243,0.04564243,,,Yes,,,,,Florida Pneumatic Manufacturing Corporation,,,,4398,1403422,9200000,9200000,143362,Industrial,851 Jupiter Park Lane,6/18/19,1,,851 Jupiter Park Ln,JUPITER WAREHOUSE HOLDING,,,,P AND F INDUSTRIES,,,,33458,127.6856,72052,,15548,0.99999934
10900 Northwest 27th Street,"10900 Northwest 27th Street, Doral, FL 33172",Doral,FL,United States,33172,Industrial,Warehouse,,No,Miami,Airport / Doral,139380,SF,6/21/19,1,22,$,157.84,,A+,0.04522712,Green Street Market Estimate,No,,No,,,,,0,,,,,0.042,0.041314,0.0422354,,,Yes,,,,,,,,,4401,17879,22000000,22000000,4743,Industrial,10900 Northwest 27th Street,6/21/19,1,,10900 NW 27th St,CARISAM SAMUEL MEISEL AND CO (WORLD DUTY FREE),,,,HAROLD M RIFAS,,,,33172,157.8419,139380,,362,1.0000004
Crosstown Business Center,"9797 East Admiral Place, Tulsa, OK 74116",Tulsa,OK,United States,74116,Industrial,Warehouse,,No,Tulsa,,199000,SF,6/21/19,1,9.5,$,47.74,,,,,No,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Wiggin Investments Inc.,,,,,,,,4407,1233751,9500000,9500000,124400,Industrial,Crosstown Business Center,6/6/19,1,,9797-10161 E Admiral Pl,WIGGIN PROPERTIES,,,,INDUSTRIAL DEVELOPERS OF OK,,,,74116,48.1923,197127,,11878,0.99999964
2055 Main Street,"2055 Main Street, Irvine, CA 92614",Irvine,CA,United States,92614,Industrial,Warehouse,,Yes,Orange County,Airport,48000,SF,6/21/19,1,14,$,291.67,,A,0.0339167,Green Street Market Estimate,No,Redevelopment,No,,Eastdil Secured,,,0,,,,,0.043,0.04283372,0.04093677,,,Yes,IntraCorp,,,,LBA Realty,,,,4408,1225587,13525000,13525000,123058,Industrial,2055 Main Street,6/13/19,1,,2055 Main St,INTRACORP HOMES,,,,LBA REALTY,,,,92614,297.4272,45473.32,,11751,0.9999997
1911 Satellite Boulevard Northeast,"1911 Satellite Boulevard Northeast, Buford, GA 30518",Buford,GA,United States,30518,Industrial,Warehouse,,No,Atlanta,Northeast,154000,SF,6/21/19,1,14.1,$,91.56,,B+,,,Yes,,No,,CBRE Group,10.4,,0,1,,,,0.051,0.0506154,0.05133468,,,Yes,Colony Capital,,,,Cabot Properties,,,,4411,722803,13200000,13200000,95127,Industrial,1911 Satellite Boulevard,6/13/19,1,,1911 Satellite Blvd NE,COLONY REALTY PARTNERS,,,,CABOT PROPERTIES,,,,30518,85.9241,153624,,8513,0.9174627
375 Kenyon Road,"375 Kenyon Road, Suffolk, VA 23434",Suffolk,VA,United States,23434,Industrial,Warehouse,,No,Norfolk / Hampton Roads,,385000,SF,6/21/19,1,,,,,,,,Yes,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Equus Capital Partners,,,,CenterPoint Properties,,,,4420,1404260,32298019.09,32298019.09,143437,Industrial,375 Kenyon Road,6/24/19,1,,375 Kenyon Rd,EQUUS CAPITAL PARTNERS,,,,CALPERS,,,,23434,85.4445,378000,,15615,0.9999996
1020 Centerpoint Drive,"1020 Centerpoint Drive, Suffolk, VA 23434",Suffolk,VA,United States,23434,Industrial,Warehouse,,No,Norfolk / Hampton Roads,,401000,SF,6/21/19,1,,,,,,,,Yes,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Equus Capital Partners,,,,CenterPoint Properties,,,,4421,1404253,93550614.2,93550614.2,143436,Industrial,1020 Centerpoint Drive,6/24/19,1,,1020 Centerpoint Dr,EQUUS CAPITAL PARTNERS,,,,CALPERS,,,,23434,85.4445,1094870,,15614,0.9999998
1010 Centerpoint Drive,"1010 Centerpoint Drive, Suffolk, VA 23434",Suffolk,VA,United States,23434,Industrial,Warehouse,,No,Norfolk / Hampton Roads,,357000,SF,6/21/19,1,,,,,,,,Yes,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Equus Capital Partners,,,,CenterPoint Properties,,,,4422,1404253,93550614.2,93550614.2,143436,Industrial,1020 Centerpoint Drive,6/24/19,1,,1020 Centerpoint Dr,EQUUS CAPITAL PARTNERS,,,,CALPERS,,,,23434,85.4445,1094870,,15614,0.87263745
3516 South Military Highway,"3516 South Military Highway, Chesapeake, VA 23323",Chesapeake,VA,United States,23323,Industrial,Warehouse,,No,Norfolk / Hampton Roads,,131000,SF,6/21/19,1,,,,,,,,Yes,,No,,CBRE Group,,,0,,,,,,,,,,Yes,Equus Capital Partners,,,,CenterPoint Properties,,,,4424,1254000,11151361.04,11151361.04,126610,Industrial,3516 South Military Highway,6/24/19,1,,3516 S Military Hwy,EQUUS CAPITAL PARTNERS,,,,CALPERS,,,,23323,85.4445,130510,,12083,1.0000004
2801 River Road,"2801 River Road, Yakima, WA 98902",Yakima,WA,United States,98902,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,"Yakima, WA",,510127,SF,6/19/19,1,24.5,$,48.03,,,,,No,,No,,,21.11,1,,1,1983,,,,,,,,Yes,,,,,,,,,4428,111485,24500000,24500000,32783,Industrial,2801 River Road,6/26/19,1,,2801 River Rd,LARRY HULL,,,,NORTHSTAR COMMERCIAL PARTNERS,ALTO REAL ESTATE FUNDS,,,98902,48.0412,509979,,2721,1
2555 West Midway Boulevard,"2555 West Midway Boulevard, Broomfield, CO 80020",Broomfield,CO,United States,80020,Industrial,Warehouse,,No,Denver,Broomfield,363582,SF,6/19/19,1,18.75,$,51.57,,B,0.04529472,Green Street Market Estimate,No,,No,,,,,0,,,,,0.057,0.05473481,0.05400189,,,Yes,Mile High Labs,,,,"Sandoz, Inc.",,,,4429,1404504,18750000,18750000,143463,Industrial,2555 West Midway Boulevard,6/19/19,1,,2555 W Midway Blvd,MILE HIGH LABS,,,,NOVARTIS PHARMACEUTICALS,,,,80020,48.1698,389248,,15640,1.0000002
8800 East Adamo Drive,"8800 East Adamo Drive, Tampa, FL 33619",Tampa,FL,United States,33619,Industrial,Warehouse,Bulk Distribution,No,Tampa-St. Petersburg,East Tampa,368840,SF,6/19/19,1,26.25,$,71.17,,B,0.05945608,Green Street Market Estimate,No,,No,,JLL,20,,0,2,1972,2013,,0.054,0.05461538,0.0553353,,,Yes,ASB Capital Management,,,,TriGate Capital,,,,4431,222019,26275000,26275000,65740,Industrial,8800 E Adamo Drive,6/18/19,1,,8800 E Adamo Dr,ASB REAL ESTATE INVESTMENT,,,,TRIGATE CAPITAL,,,,33619,71.2709,368664,,5552,0.868255
Mira Este Business Park,"9225 Dowdy Drive, San Diego, CA 92126",San Diego,CA,United States,92126,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,San Diego,Central County,64000,SF,6/17/19,1,10.08,$,157.42,,B+,0.04850328,Green Street Market Estimate,No,,No,Newmark Group,Cushman & Wakefield,,,0,,,,,0.053,0.05285849,0.05384245,,,Yes,,,,,3G Properties,,,,4437,969409,10075000,10075000,111038,Industrial,Mira Este Business Park,6/14/19,1,,9245 Dowdy Dr,PETER SUN,,,,3G PROPERTIES,,,,92126,156.685,64301,,10505,1.0000006
1075 Northfield Court,"1075 Northfield Court, Roswell, GA 30076",Roswell,GA,United States,30076,Industrial,Warehouse,,No,Atlanta,North Central,153000,SF,6/14/19,1,13.3,$,86.93,,A-,0.05634209,Trailing 12 months,No,,No,,Colliers,9.89,,0,1,1988,,1,0.051,0.04841809,0.04840693,,,Yes,Dalfen Industrial,,,,,,,,4443,16797,13300000,13300000,4423,Industrial,1075 Northfield Court,6/14/19,1,,1075 Northfield Ct,DALFEN INDUSTRIAL,,,,DAVID L PERDUE,,,,30076,87.6482,151743,,336,1.0000008
17490 Brookwood Parkway,"17490 Brookwood Parkway, Vance, AL 35490",Vance,AL,United States,35490,Industrial,Warehouse,Light Industrial,No,"Tuscaloosa, AL",,172566,SF,6/13/19,1,8.4,$,48.68,,,,,No,,No,,,25,,,1,2013,,1,,,,,,Yes,,,,,,,,,4445,1283574,13000000,13000000,130876,Industrial,17490 Brookwood Parkway,6/14/19,1,,17490 Brookwood Pkwy,SMP AUTOMOTIVE SYSTEMS AL,,,,BORGERS USA,,,,35490,76.8708,169115,,12495,0.9999998
4018 Stirrup Creek Drive,"4018 Stirrup Creek Drive, Durham, NC 27703",Durham,NC,United States,27703,Industrial,Warehouse,Manufacturing / Heavy Industrial,No,Raleigh-Durham,South Durham,96000,SF,6/13/19,1,8.5,$,88.55,,C+,0.06400902,Green Street Market Estimate,No,,No,,Cushman & Wakefield,,,0,,,,,0.06,0.06192981,0.06421405,,,Yes,,,,,,,,,4446,1300810,8501044,8501044,132250,Industrial,4018 Stirrup Creek Drive,6/12/19,1,,4018 Stirrup Creek Dr,STIRRUP CREEK,,,,VIJAY SONI,,,,27703,87.6396,97000,,12671,1.0000002
938 East 60th Street,"938 East 60th Street, Los Angeles, CA 90001",Los Angeles,CA,United States,90001,Industrial,Warehouse,,No,Los Angeles,Commerce / Vernon,22000,SF,6/11/19,1,6.88,$,312.5,,A++,0.03593792,Green Street Market Estimate,No,,No,,Marcus & Millichap IPA,,,0,,,,,0.041,0.04087638,0.03999048,,,Yes,,,,,,,,,4453,969484,6875000,6875000,111062,Industrial,938 West 60th Street,6/11/19,1,,938 W 60th St,SOLA IMPACT FUND,,,,VICTOR SAWAN,,,,90001,149.1712,46088,,10528,0.97458327
