Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
Promenade Terrace,"451 Wellesley Drive, Corona, CA 92879",Corona,CA,United States,92879,Apartment,,Garden / Low-Rise,No,Inland Empire,Corona,330,Units,5/15/19,1,99,$,"300,000.00",,B+,0.04730914,Trailing 12 months,No,,No,,(None),2.08,2,0,,1989,2014,0.95,0.05876683,0.05530083,0.05684065,,,Yes,Blackstone Real Estate Income Trust,,,,Bridge Investment Group,,,,1834,501041,99000000,99000000,81719,Apartment,Promenade Terrace,5/2/19,1,,451 Wellesley Dr,BREIT,,,,BRIDGE INVESTMENT GROUP,,,,92879,300000,360838,330,7042,0.9999994
Overlook at Woodholme,"9050 Iron Horse Lane, Pikesville, MD 21208",Pikesville,MD,United States,21208,Apartment,,Mid-Rise,No,Baltimore,Pikesville,147,Units,5/15/19,1,30.5,$,"207,482.99",,B-,0.05591617,Trailing 12 months,No,,No,,Newmark Group,5.13,4,0,2,2000,,0.918,0.06189617,0.06600434,0.06430186,,,Yes,Catapult Investments,,,,,,,,1835,225456,30500000,30500000,66795,Apartment,Overlook At Woodholme,5/10/19,1,,9050 Iron Horse Ln,ADVANTAGE PROPERTIES,,,,TIAA,,,,21208,207482.9932,205800,147,5638,1.0000002
Tides on Rail,"1905 West Las Palmaritas Drive, Phoenix, AZ 85021",Phoenix,AZ,United States,85021,Apartment,,Garden / Low-Rise,No,Phoenix,North Central,488,Units,5/15/19,1,39.75,$,"81,454.92",,B+,0.05597864,Trailing 12 months,No,,No,,Berkadia,14,2,0,24,1979,,0.959,0.05236236,0.05398505,0.0535809,,,Yes,Tides Equities,,,,Henley Investment Management Limited, Modern Residential,,,1836,73847,39750000,39750000,21457,Apartment,Tides on Rail,5/3/19,1,,1905 W Las Palmaritas Dr,TIDES EQUITIES,,,,HENLEY,MODERN RESIDENTIAL,,,85021,81454.918,,488,1782,0.99999964
Clare,"5186 Church Lake Drive, Southaven, MS 38671",Southaven,MS,United States,38671,Apartment,,Garden / Low-Rise,No,Other,,352,Units,5/15/19,1,34.32,$,"97,500.00",,,0.0489414,Trailing 12 months,No,,No,,Newmark Group,,2,0,,1997,,0.89,,,,,,Yes,Valcap Group,,,,SteelWave,,,,1837,170867,34600000,34600000,50301,Apartment,The Clare,5/31/19,1,,5186 Church Lake Dr,VALCAP GROUP,,,,LEGACY PARTNERS,,,,38671,98295.4545,325952,352,4217,0.92660135
Ivy Ridge,"589 Yale Street, Harrisburg, PA 17111",Harrisburg,PA,United States,17111,Apartment,,Garden / Low-Rise,No,Harrisburg,,218,Units,5/15/19,1,33,$,"151,376.15",,,0.04560382,Trailing 12 months,No,,No,,HFF,,2,0,,2012,,0.93,,,,,,Yes,,,,,Solomon Organization,,,,1838,1152078,31000000,31000000,112100,Apartment,Ivy Ridge,5/30/19,1,,589 Yale St,NACHUM BERGMAN,,,,SOLOMON ORGANIZATION,,,,17111,142201.8349,179328,218,10754,0.9999998
Willow Creek North Ridge,"6615 The Lakes Drive, Raleigh, NC 27609",Raleigh,NC,United States,27609,Apartment,,Garden / Low-Rise,No,Raleigh-Durham,North Central Raleigh,600,Units,5/15/19,1,62,$,"103,333.33",,A-,0.05678943,Trailing 12 months,No,,No,,Newmark Group,,3,0,,1971,2018,0.95,0.05450059,0.0536623,0.05610147,,,Yes,,,,,,,,,1839,194135,62000000,62000000,57334,Apartment,Willow Creek North Ridge,4/17/19,1,,6615 the Lakes Dr,WILLOW CREEK PARTNERS,,,,HAWTHORNE RES PARTNERS,,,,27609,103333.3333,496980,600,4864,0.9999994
Gramercy Park,"3225 Woodland Park Drive, Houston, TX 77082",Houston,TX,United States,77082,Apartment,,Garden / Low-Rise,No,Houston,Bear Creek / Katy,384,Units,5/15/19,1,52,$,"135,416.67",,B+,0.05498638,Trailing 12 months,No,,No,,Newmark Group,,3,0,,1997,2012,0.911,0.05855573,0.0583515,0.06347906,,,Yes,HM Equity Management,,,,,,,,1840,125788,52000000,52000000,36965,Apartment,Gramercy Park,5/1/19,1,,3225 Woodland Park,HM EQUITY MANAGEMENT,,,,FOGELMAN MANAGEMENT GROUP,DRA ADVISORS,,,77082,135416.6667,361344,384,3053,1
District at Westborough,"1550 Westborough Drive, Katy, TX 77449",Katy,TX,United States,77449,Apartment,,Garden / Low-Rise,No,Houston,Bear Creek / Katy,340,Units,5/15/19,1,48.25,$,"141,911.76",,B+,0.06288073,Trailing 12 months,No,,No,,Newmark Group,15.745,3,0,15,2013,,0.84,0.05855573,0.0583515,0.06347906,,,Yes,Ilan Investments,,,,,,,,1843,1258677,48250000,48250000,127187,Apartment,District at Westborough,5/1/19,1,,1550 Westborough Dr,ILAN INVESTMENT,,,,EQUITY RESOURCES,,,,77449,141911.7647,367873,340,12138,1.0000002
Bella Vista,"8100 Old Denton Road, Fort Worth, TX 76137",Fort Worth,TX,United States,76137,Apartment,,Garden / Low-Rise,No,Dallas / Fort Worth,Northeast,276,Units,5/15/19,1,38.15,$,"138,224.64",,A-,0.05084324,Trailing 12 months,No,,No,,Newmark Group,,3,0,,2009,,0.97,0.05603406,0.05579599,0.05760218,,,Yes,,,,,,,,,1845,735603,42500000,42500000,95978,Apartment,Bella Vista,5/29/19,1,,8100 N Riverside Dr,SPI ADVISORY,,,,SHORE TO SHORE EQUITIES,,,,76137,153985.5072,314340,276,8606,0.99999946
Beacon Hill,"1322 Beacon Ridge Road, Charlotte, NC 28210",Charlotte,NC,United States,28210,Apartment,,Garden / Low-Rise,No,Charlotte,Fairview North,349,Units,5/15/19,1,41,$,"117,478.51",,A-,0.0460977,Green Street Market Estimate,No,,No,,Newmark Group,14,3,0,1,,,,0.05534501,0.05207065,0.05207065,,,Yes,Blackstone Real Estate Income Trust,,,,,,,,1846,70322,41000000,41000000,20371,Apartment,Beacon Hill,5/1/19,1,,1322 Beacon Ridge Rd,BREIT,,,,BRIDGE INVESTMENT GROUP,,,,28210,117478.51,242229,349,1697,0.99999994
