,Unnamed: 0.1,Unnamed: 0,Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
3605,3605,394,Belmont Executive Plaza,"19775 Belmont Executive Plaza, Ashburn, VA 20147",Ashburn,VA,United States,20147.0,Office,,,No,Other,,120000.0,SF,2019-04-29,1.0,16.54,$,137.83,,,,,No,,No,,Cushman & Wakefield,,,0.0,,,,,,,,,,Yes,Rooney Properties,,,,Toll Brothers,,,,6113,1406520,16540000.0,16540000.0,143632,Office,Belmont Executive Plaza,2019-04-29,1.0,,19775 Belmont Executive Plz,ROONEY PROPERTIES,,,,TOLL BROTHER,,,,20147.0,138.2723,119619.0,,15793,0.9999998
3606,3606,395,4643 Quail Lakes Drive,"4643 Quail Lakes Drive, Stockton, CA 95207",Stockton,CA,United States,95207.0,Office,,,No,Stockton,,24000.0,SF,2019-04-29,1.0,5.2,$,216.47,,,,,No,,No,,CBRE Group,,,0.0,,,,,,,,,,Yes,,,,,Christopher Bennitt,,,,6114,1212393,5195250.0,5195250.0,121018,Office,4643 Quail Lakes Drive,2019-04-29,1.0,,4643 Quail Lakes Dr,ROBERT NURISSO,,,,CHRISTOPHER BENNITT,,,,95207.0,207.81,25000.0,,11544,1.0000001
3607,3607,396,3742 Tyndale Drive,"3742 Tyndale Drive, Memphis, TN 38125",Memphis,TN,United States,38125.0,Office,,,No,Memphis,East / Germantown,76000.0,SF,2019-04-29,1.0,12.47,$,164.01,,B,0.09139414,Green Street Market Estimate,No,,No,,CBRE Group,8.0,,0.0,1.0,1984.0,,,0.1255,0.12052053,0.12794215,,,Yes,Zaragon Inc.,,,,Brett Baumgarten, Brett Keeshin, John Lazovich,,6115,1243478,12465000.0,12465000.0,125822,Office,3742 Tyndale Drive,2019-04-29,1.0,leasehold,3742 Tyndale Dr,ZARAGON,,,,JOHN LAZOVICH,,,,38125.0,163.3084,76328.0,,12012,0.99999994
3608,3608,397,Benvenuti Plaza,"1515 S Street, Sacramento, CA 95811",Sacramento,CA,United States,95811.0,Office,,,No,Sacramento,Sacramento (CBD),378000.0,SF,2019-04-29,1.0,114.6,$,303.17,,B,0.06781124,Green Street Market Estimate,No,,No,,Cushman & Wakefield,2.0,,0.0,1.0,,,,0.114,0.11085603,0.11085603,,,Yes,Boyd Watterson Asset Management,,,,Hines, JMA Ventures, Oaktree Capital Management,,6116,53188,114600000.0,114600000.0,15264,Office,Benvenuti Plaza,2019-04-26,1.0,,1515 S St,BOYD WATTERSON,,,,OAKTREE,HINES,JMA VENTURES,,95811.0,286.761,399636.0,,1256,1.0000002
3609,3609,398,430 West 14th Street,"875 Washington Street, New York, NY 10014",New York,NY,United States,10014.0,Office,,,No,New York,Midtown South,61000.0,SF,2019-04-29,1.0,129.5,$,"2,122.95",,A++,,,No,,No,,,,,0.0,,,,,0.0995,0.09352104,0.09352104,,,Yes,RFR Holding,,,,ASB Capital Management,,,,6117,152339,129500000.0,129500000.0,44766,Office,430 West 14th Street,2019-04-30,1.0,,430 W 14th St,RFR REALTY,,,,ASB REAL ESTATE INVESTMENT,,,,10014.0,2111.8377,61321.0,119.0,3717,1.0
3610,3610,402,Network Drive at Northwest Park,"15 Network Drive, Burlington, MA 01803",Burlington,MA,United States,1803.0,Office,,,No,Boston,128 North,937000.0,SF,2019-04-26,1.0,300.0,$,320.17,,A,0.04793174,Green Street Market Estimate,No,,No,,,95.0,,0.0,1.0,,,,0.0965,0.09498849,0.09346771,,,Yes,Starwood Capital Group,,,,JPMorgan Asset Management, Nordblom Co.,,,6121,4897,236983348.9065,236983348.9065,660,Office,Network Drive at Northwest Park,2019-04-08,1.0,,1 Network Dr,STARWOOD CAPITAL,,,,JP MORGAN,NORDBLOM,,,1803.0,294.3893,805000.0,,34,0.9999998
3611,3611,404,Bellevue Corporate Plaza,"600 108th Avenue Northeast, Bellevue, WA 98004",Bellevue,WA,United States,98004.0,Office,,,No,Seattle,Bellevue CBD,255000.0,SF,2019-04-25,1.0,195.0,$,764.71,,A++,0.05200605,Green Street Market Estimate,No,,No,,Eastdil Secured,,,0.0,,,,,0.0995,0.09315627,0.09315627,,,Yes,Amazon,,,,Equity Commonwealth,,,,6123,183705,195000000.0,195000000.0,54231,Office,Bellevue Corporate Plaza,2019-04-23,1.0,,600 108th Ave NE,AMAZON,,,,EQUITY COMMONWEALTH,,,,98004.0,759.2571,256830.0,,4576,0.9999998
3612,3612,406,Westlake Place,"1515 South Capital of Texas Highway, Austin, TX 78746",Austin,TX,United States,78746.0,Office,,,No,Austin,Southwest,62000.0,SF,2019-04-24,1.0,15.1,$,243.55,,A++,0.05846946,Green Street Market Estimate,No,,No,,HFF,4.0,,0.0,1.0,,,,0.101,0.09563967,0.09510049,,,Yes,Oakpoint Real Estate,,,,Moore & Associates,,,,6125,53075,14999984.64,14999984.64,15229,Office,Westlake Place,2019-04-23,1.0,,1515 Capital of Texas Hwy S,OAKPOINT,,,,MOORE AND ASSOC,,,,78746.0,244.67,61308.0,,1254,1.0000005
3613,3613,407,Five Channel Center Street,"5 Channel Center Street, Boston, MA 02210",Boston,MA,United States,2210.0,Office,CBD Office,Mid-Rise,No,Boston,Seaport District,52500.0,SF,2019-04-24,1.0,26.0,$,495.24,,A++,0.0468125,Green Street Market Estimate,No,,No,,CBRE Group,,6.0,0.0,,1913.0,2013.0,1.0,0.0965,0.09013093,0.09013093,,,Yes,Westbrook Partners,,,,CV Properties,,,,6126,1391678,26000000.0,26000000.0,142650,Office,5 Channel Center Street,2019-04-24,1.0,,5 Channel Center St,WESTBROOK PARTNERS,,,,CV PROPERTIES,,,,2210.0,500.0,52000.0,,14890,0.98398554
3614,3614,412,4550 Norris Canyon Road,"4550 Norris Canyon Road, San Ramon, CA 94583",San Ramon,CA,United States,94583.0,Office,Flex Office,,No,Oakland-East Bay,Interstate 680 South,96975.0,SF,2019-04-23,1.0,23.0,$,237.17,,A+,,,No,,No,Newmark Group,Newmark Group,,1.0,0.0,,,,,0.1085,0.0991995,0.09904414,,,Yes,Dollinger Properties,,,,Cannae Partners, New York Life Insurance Co.,,,6131,1400770,23000000.0,23000000.0,143051,Industrial,4550 Norris Canyon Road,2019-04-16,1.0,,4550 Norris Canyon Rd,DOLLINGER PROPERTIES,,,,NEW YORK LIFE,CANNAE PARTNERS,,,94583.0,236.8131,97123.0,,15254,0.9999995
3616,3616,415,19499 Victor Parkway,"19499 Victor Parkway, Livonia, MI 48152",Livonia,MI,United States,48152.0,Office,,,No,Detroit,Dearborn / Livonia,40000.0,SF,2019-04-22,1.0,5.1,$,127.5,,C+,0.09167414,Green Street Market Estimate,No,,No,Newmark Group,,,3.0,0.0,,1999.0,,,0.128,0.13586606,0.12763005,,,Yes,Monolithic Power Systems,,,,RDG Funds,,,,6134,1407705,5100000.0,5100000.0,143834,Office,19499 Victor Parkway,2019-04-22,1.0,,19499 Victor Pkwy,MONOLITHIC POWER SYSTEMS,,,,ROCKFORD CONSTRUCTION,,,,48152.0,128.3665,39730.0,,15992,1.0
3617,3617,416,One MacArthur Place,"1 Mac Arthur Place, Santa Ana, CA 92707",Santa Ana,CA,United States,92707.0,Office,,,No,Orange County,Airport,205000.0,SF,2019-04-22,1.0,53.32,$,260.11,,A,0.07190953,Green Street Market Estimate,No,,No,,JLL,,,0.0,,,,,0.1025,0.10200271,0.11372346,,,Yes,"Angelo, Gordon & Co.", Ocean West Capital Partners,,,EQ Office,,,,6135,4721,53774221.3333,53774221.3333,603,Office,One MacArthur Place,2019-04-24,1.0,,1 Macarthur Pl,ANGELO GORDON,OCEAN WEST,,,BLACKSTONE,,,,92707.0,268.8711,200000.0,,31,0.99999994
3618,3618,417,56 South Lincoln Street,"56 South Lincoln Street, Stockton, CA 95203",Stockton,CA,United States,95203.0,Office,,,No,Stockton,,52000.0,SF,2019-04-19,1.0,10.5,$,201.92,,,0.079,As Reported,No,,No,,Marcus & Millichap IPA,,,0.0,,,,,,,,,,Yes,,,,,,,,,6136,178262,10500000.0,10500000.0,52573,Office,56 South Lincoln Street,2019-04-19,1.0,,56 S Lincoln St,STOCKTON UNIFIED SCHOOL DISTRICT,,,,RADFORD VENTURES,,,,95203.0,202.4526,51864.0,,4420,0.9999998
3620,3620,419,4147 Eastern Avenue SE,"4147 Eastern Avenue Southeast, Kentwood, MI 49508",Kentwood,MI,United States,49508.0,Office,,,No,Grand Rapids,,97000.0,SF,2019-04-19,1.0,10.25,$,105.67,,,,,No,,No,,Colliers,,,0.0,,,,,,,,,,Yes,Red River Asset Management,,,,,,,,6138,148952,10250000.0,10250000.0,43819,Office,4147 Eastern Avenue Southeast,2019-04-19,1.0,,4147 Eastern Ave SE,RED RIVER ASSET MANAGEMENT,,,,LADDER CAPITAL,,,,49548.0,105.4885,97167.0,,3640,0.9420532
3621,3621,420,1200 Southwest Main Street,"1200 Southwest Main Street, Portland, OR 97205",Portland,OR,United States,97205.0,Office,,,No,Portland,Portland (CBD),16000.0,SF,2019-04-18,1.0,5.5,$,343.75,,B+,0.06095853,Green Street Market Estimate,No,,No,,JLL,,,0.0,,,,,0.1095,0.10261145,0.10492802,,,Yes,,,,,,,,,6139,1392367,5500000.0,5500000.0,142709,Office,1200 Southwest Main Street,2019-04-18,1.0,,1200 SW Main St,TWELVE HUNDRED MAIN,,,,GBSK AND G,,,,97205.0,350.0064,15714.0,,14943,0.9999998
3622,3622,421,West Gate,"2528 Center West Parkway, Augusta, GA 30909",Augusta,GA,United States,30909.0,Office,Suburban Office,Low-Rise,No,Augusta,,44360.0,SF,2019-04-18,1.0,7.0,$,157.8,,,0.081,As Reported,No,,No,,Marcus & Millichap IPA,6.46,1.0,0.0,,1985.0,2015.0,1.0,,,,,,Yes,,,,,,,,,6140,103459,7000000.0,7000000.0,30408,Office,West Gate,2019-04-18,1.0,,2528 Center W Pkwy,JLB CAPITAL,,,,GEORGE N SNELLING,,,,30909.0,92.6931,75518.0,2.0,2535,0.9999999
3623,3623,422,Campbell Glen 2,"1125 East Campbell Road, Richardson, TX 75081",Richardson,TX,United States,75081.0,Office,,,No,Dallas / Fort Worth,Richardson / Plano / McKinney,206000.0,SF,2019-04-18,1.0,14.85,$,72.09,,B+,0.0761116,Green Street Market Estimate,No,,No,,HFF,11.3518,,0.0,1.0,,,,0.112,0.10595998,0.11467853,,,Yes,Peloton Commercial,,,,Macfarlan Capital Partners,,,,6141,22920,19371496.04,19371496.04,6295,Office,Campbell Glen II,2019-04-18,1.0,,1125 E Campbell Rd,STANTON RD CAPITAL,,,,MACFARLAN CAPITAL PARTNERS,,,,75082.0,94.12,205817.0,,499,0.9653856
